des_scom;des_eve;des_vin;famiglia_matrice;esito_matrice;mapping_esito;motivo_mapping;righe;ticket_unici;concessionari;esempio_evento_descrizione
VINCENTE;Aryna Sabalenka;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, DOMUSBET, MARATHON, STARCASINO, WILLIAMHILL;TENNIS | AUSTRALIAN OPEN | Australian Open Femminile 2027 | VINCENTE | Aryna Sabalenka
VINCENTE;BAL Ravens;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;BBET, DOMUSBET, STARCASINO;FOOTBALL AMERICANO | USA - CAMPIONATO NFL | Afc North 2026/27 | VINCENTE | BAL Ravens
VINCENTE;BAYERN;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, STARCASINO;CALCIO | GERMANIA - I DIVISIONE | Bundesliga 2025/2026 | VINCENTE | BAYERN
VINCENTE;Ben Healy;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, DOMUSBET, WILLIAMHILL;CICLISMO | TOUR DE FRANCE | Tour De France 2026 Tappa 19 | VINCENTE | Ben Healy
VINCENTE;Burnley;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;BBET, STANLEYBET;CALCIO | INGHILTERRA - II DIVISIONE | Championship 2026/27 | VINCENTE | Burnley
VINCENTE;DUCATI LENOVO TEAM;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, DOMUSBET, WILLIAMHILL;MOTOCICLISMO | MONDO - MOTOMONDIALE | Mondiale Motogp 2026 - Team Vincente | VINCENTE | DUCATI LENOVO TEAM
VINCENTE;Erling Haaland;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, BBET, DOMUSBET, SPORTBET;CALCIO | PALLONE D'ORO FIFA | Pallone D oro 2026 | VINCENTE | Erling Haaland
VINCENTE;HOU Texans;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET, STARCASINO, WILLIAMHILL;FOOTBALL AMERICANO | USA - CAMPIONATO NFL | Afc South 2026/27 | VINCENTE | HOU Texans
VINCENTE;Haugesund;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;SPORTBET, STARCASINO;CALCIO | NORVEGIA - II DIVISIONE | Norvegia 2 -2026 | VINCENTE | Haugesund
VINCENTE;Lautaro Martinez;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET;CALCIO | PALLONE D'ORO FIFA | Pallone D oro 2026 | VINCENTE | Lautaro Martinez
VINCENTE;Pauline Ferrand Prevot;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;STANLEYBET;ciclismo | TOUR DE FRANCE | Tour de France Femminile 2026 | VINCENTE | Pauline Ferrand Prevot
VINCENTE;Red Bull;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;ADMIRAL, STARCASINO, WILLIAMHILL;AUTOMOBILISMO | MONDO - CAMPIONATO FORMULA 1 | Formula 1 Mondiale Costruttori 2026 | VINCENTE | Red Bull
VINCENTE;SEATTLE MARINERS;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET, STARCASINO;BASEBALL | AMERICA - MAJOR LEAGUE | MLB 2026 - American League West | VINCENTE | SEATTLE MARINERS
VINCENTE;SL. BRATISLAVA;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;STARCASINO;CALCIO | SLOVACCHIA - I DIVISIONE | Super Liga 2025/26 | VINCENTE | SL. BRATISLAVA
VINCENTE;ST. JOHNSTON;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;STARCASINO;CALCIO | SCOZIA - II DIVISIONE | Championship 25/26 | VINCENTE | ST. JOHNSTON
VINCENTE;Torino;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;STANLEYBET, STARCASINO;CALCIO | ITALIA - I DIVISIONE | Serie A 2026/27 | VINCENTE | Torino
VINCENTE;Troyes;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;DOMUSBET, STARCASINO;CALCIO | FRANCIA - II DIVISIONE | Ligue 2 2025/2026 | VINCENTE | Troyes
VINCENTE INFO AGG;BK Hacken;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;WILLIAMHILL;CALCIO | SVEZIA - I DIVISIONE F. | Damallsvenskan 2026 | VINCENTE INFO AGG | BK Hacken
VINCENTE INFO AGG;Khvicha Kvaratskhelia;;;;NON_MAPPATO;famiglia non riconosciuta;5;5;WILLIAMHILL;CALCIO | PALLONE D'ORO FIFA | Pallone D oro 2026 | VINCENTE INFO AGG | Khvicha Kvaratskhelia
