iterazione;ticket_vincenti;ticket_esclusi_compatibilita;payout_totale
913;13346;7;4931995,23
914;13586;7;4481644,37
915;13665;7;6429408,63
916;12155;7;4651670,37
917;13440;7;4935354,69
918;15012;7;6376502,43
919;12230;7;5075834,75
920;13520;7;5529910,6
921;13950;7;6485116,22
922;14253;7;4742190,26
923;12829;7;5728733,06
924;13583;7;5170186,69
925;13470;7;5843087,92
926;13003;7;5982196,74
927;13812;7;5882524,56
928;13209;7;4731334,32
929;13448;7;6248188,13
930;13147;7;5137169,66
931;15339;7;5438436,04
932;13990;7;5400266,22
933;12616;7;5089081,14
934;14071;7;5907060,46
935;15416;7;5995306,25
936;12149;7;5037660,3
937;14892;7;5987134,46
938;11985;7;4657002,65
939;14320;7;6902111,77
940;13947;7;5327316,54
941;12577;7;4935989,4
942;12938;7;5885196,39
943;13081;7;4560500,18
944;13063;7;5116789,23
945;14903;7;6643920,97
946;12335;7;5453632,5
947;13238;7;5871589,05
948;13926;7;5665898,63
949;13196;7;5507589,42
950;12620;7;5379969,06
951;12771;7;5227629,89
952;13017;7;4608736,66
953;11886;7;4202992,2
954;14102;7;5536585,36
955;13126;7;5718351,85
956;12476;7;4350080,91
957;13391;7;6218785,18
958;13648;7;4953151,69
959;12887;7;5134852,04
960;12947;7;5507824,78
961;14535;7;5833462,75
962;13889;7;5623285,07
963;13338;7;5328236,83
964;13161;7;5253354,76
965;14367;7;6229211,01
966;12788;7;5113624,0
967;12306;7;4839021,79
968;13483;7;4613786,63
969;14735;7;5802505,54
970;14071;7;4899172,71
971;14077;7;5206641,49
972;13394;7;5605203,22
973;13133;7;4425141,11
974;12485;7;5095794,1
975;14089;7;5587606,66
976;13059;7;5312183,77
977;12099;7;4351168,34
978;14041;7;5403341,82
979;12295;7;5388001,52
980;13874;7;5601357,93
981;12155;7;4715366,27
982;12613;7;4824344,66
983;13225;7;6218010,24
984;12350;7;4308180,46
985;14211;7;5000005,22
986;12766;7;5383036,84
987;13798;7;6549104,86
988;12682;7;4455500,62
989;14211;7;5667606,54
990;12444;7;4775679,93
991;14422;7;5298303,13
992;13261;7;4474156,95
993;13015;7;4907694,94
